Name, Images, Location, Contact,
Sam Hill Hostel, /static/images/default_geocode-1x.png, https://maps.app.goo.gl/VYyLyg1Sa6diH9Fo7, 024 458 4569,
Saba Hoc Hospital, /static/images/default_geocode-1x.png, null, 055 122 4545,
Green hostel, /static/images/default_geocode-1x.png, https://maps.app.goo.gl/nYjCkmcjCsUXdyCPA, 054 100 1245,
Offeibia Hostel, /static/images/default_geocode-1x.png, https://maps.app.goo.gl/2m4oTH4cf27DSmsQ9, 027 122 1155,
Chinese Hostel, /static/images/hostels/shatta-wale-hostels/chinese-hostel.png, https://maps.app.goo.gl/JLHuWUC2VGiwpnUS7, 057 753 1564,
